model_data_global_parent_bvdid,filial_operating_revenue_max_eur_th
US375848624L,804389.372216
US833933743,6345370.24597
US050494040,329686423.866741
CHCHE101049653,29704224.419494
KR1350110034038,1660737.452595
US204531180,4014926.220954
US368634983L,804389.372216
US406594511L,804389.372216
US320091380L,804389.372216
US309801554L,804389.372216
JP7010001008844,75118831.262945
US630860407,4007183.870673
US*110313172796,804389.372216
US135315170,68532673.18605
US375049181L,804389.372216
US376058537L,804389.372216
US149171493L,3849772.027925
DE8171104214,30379130.3091
US060247840,1327326.147569
JP1180001035811,5130714.635434
US020642224,6686711.321311
US303295991L,1077229.998839
USFEB11898,2493114.748389
US882515116,18016935.64963
US450491516,3912081.325632
US770430924,9025988.0945
US333559097L,1279073.770992
US324383810L,972075.612584
US395991941L,804389.372216
US223514823,7519347.555504
US131024020,10034364.253604
US361955126L,1162577.016658
US381747023,4941533.688186
US139313974L,2906786.025786
JP1010001230585,23207432.342388
IT04579370232,2994888.987598
CA90013NC,85485563.685245
US350578955L,804389.372216
US353751098L,804389.372216
US365251721L,913406.953516
US471809393,5815557.40129
US131584302,84289563.158053
ESG28520443,22311760.0
NL33014286,12539000.0
US043099750,5443198.823102
US204645388,2185312.31794
US*B000039099,5971460.801855
IN30143FI,16449693.02028
US371490331,13387389.835156
NL34274127,55225752.37473
US380471180,2010301.434711
US208050955,6365650.375104
US660667416,2861222.497983
US350470950,31444965.912593
IE512978,19122749.130365
GB03236483,36710899.377952
US221024240,78473051.094195
US464254555,5035019.941584
US911223280,226954000.0
US592921318,55160481.468387
US431554045,880973.675024
GB05393279,4130161.456895
DK21855545,2720461.649126
US132670991,7425722.986613
US318412547L,1003447.29893
US318925298L,1079741.517012
US060570975,63509074.731587
US770518772,6296530.409356
US369664601L,804389.372216
US378147752L,804389.372216
US542185193,46032078.16887
IE595593,4568594.295504
US611767919,283260409.165492
US124033392L,942246.842478
AU005485825,2918105.827471
US362668272,20950977.707256
NL50338269,4126223.934549
US*4000000225888,5603209.115685
US611937225,903723.302433
DE8190216927,22125138.945987
US043039129,9094352.439296
US355916717L,1693331.162316
US341256875L,804389.372216
US325501067L,804389.372216
US131197635L,5217516.0979
US150237682L,1868555.181153
US127627837L,1061316.841478
US464987888,1377233.485412
US391126612,9222814.451389
GB00048839,27752359.668219
FR330703844,22932948.424494
US327191015L,799711.295263
US342991046L,804389.372216
US365175425L,1278215.311872
US385761722L,804389.372216
US402767108L,804389.372216
US431878297,7560535.900649
CAFEB33410,15474175.314676
US943136539,3405500.231388
US149092141L,2479636.896219
US843727412,4022514.682578
US453449660,3402072.108141
US452598330,4290455.383781
US952557091,18934746.030313
US303708722L,804389.372216
US353227997L,824407.890632
US313119605L,804389.372216
US354631700L,804389.372216
US369106265L,804389.372216
SE5568828908,2449869.639874
US333164960L,886649.549442
US521261113,3157683.650743
US131866833L,1027148.860295
GB04083914,35075178.139173
US834051582,20363050.239532
US313408616L,968043.877207
US351133433L,804389.372216
US367793261L,804389.372216
US372385838L,804389.372216
DE5110216866,36643598.43142
US390394230,18826923.52805
US380323799L,804389.372216
US680438710,957972.832164
US823677704,2737372.722456
US410662818L,804389.372216
US273865930,59867341.128483
US591995548,22014387.951795
US366830486L,840311.868673
US405548309L,804389.372216
US353299799L,1210280.012337
US404308253L,804389.372216
